,index,methods,Length
0,11948,"['seven_check_method', 'sameperiod_seven_point_check_method', 'amplitude_check_method', 'dynamic_threshold']",4
1,12297,"['xigema_check', 'amplitude_check_method', 'dynamic_threshold']",3
2,13356,"['xigema_check', 'amplitude_check_method', 'dynamic_threshold']",3
3,14378,"['seven_check_method', 'amplitude_check_method', 'dynamic_threshold']",3
4,15974,"['xigema_check', 'amplitude_check_method', 'dynamic_threshold']",3
5,16659,"['xigema_check', 'amplitude_check_method', 'dynamic_threshold']",3
6,17387,"['seven_check_method', 'sameperiod_seven_point_check_method', 'amplitude_check_method', 'dynamic_threshold']",4
7,17759,"['xigema_check', 'amplitude_check_method', 'dynamic_threshold']",3
8,23641,"['xigema_check', 'amplitude_check_method', 'dynamic_threshold']",3
9,24381,"['seven_check_method', 'sameperiod_seven_point_check_method', 'amplitude_check_method', 'dynamic_threshold']",4
10,24602,"['xigema_check', 'amplitude_check_method', 'dynamic_threshold']",3
11,44390,"['xigema_check', 'amplitude_check_method', 'dynamic_threshold']",3
12,44400,"['xigema_check', 'amplitude_check_method', 'dynamic_threshold']",3
13,46863,"['seven_check_method', 'sameperiod_seven_point_check_method', 'amplitude_check_method', 'dynamic_threshold']",4
14,47971,"['xigema_check', 'amplitude_check_method', 'dynamic_threshold']",3
15,48035,"['xigema_check', 'amplitude_check_method', 'dynamic_threshold']",3
16,63321,"['xigema_check', 'amplitude_check_method', 'dynamic_threshold']",3
17,65545,"['xigema_check', 'amplitude_check_method', 'dynamic_threshold']",3
18,66386,"['xigema_check', 'amplitude_check_method', 'dynamic_threshold']",3
19,70438,"['xigema_check', 'amplitude_check_method', 'dynamic_threshold']",3
20,72261,"['seven_check_method', 'sameperiod_seven_point_check_method', 'amplitude_check_method', 'dynamic_threshold']",4
21,72682,"['xigema_check', 'amplitude_check_method', 'dynamic_threshold']",3
22,73157,"['sameperiod_seven_point_check_method', 'amplitude_check_method', 'dynamic_threshold']",3
23,73241,"['xigema_check', 'amplitude_check_method', 'dynamic_threshold']",3
24,73243,"['xigema_check', 'amplitude_check_method', 'dynamic_threshold']",3
25,73245,"['sameperiod_seven_point_check_method', 'amplitude_check_method', 'dynamic_threshold']",3
26,76716,"['seven_check_method', 'sameperiod_seven_point_check_method', 'amplitude_check_method', 'dynamic_threshold']",4
27,78639,"['xigema_check', 'amplitude_check_method', 'dynamic_threshold']",3
28,78640,"['sameperiod_seven_point_check_method', 'amplitude_check_method', 'dynamic_threshold']",3
29,86510,"['xigema_check', 'amplitude_check_method', 'dynamic_threshold']",3
30,86719,"['xigema_check', 'amplitude_check_method', 'dynamic_threshold']",3
31,87582,"['xigema_check', 'amplitude_check_method', 'dynamic_threshold']",3
32,87702,"['xigema_check', 'amplitude_check_method', 'dynamic_threshold']",3
33,88752,"['xigema_check', 'amplitude_check_method', 'dynamic_threshold']",3
34,88753,"['xigema_check', 'amplitude_check_method', 'dynamic_threshold']",3
35,91501,"['xigema_check', 'amplitude_check_method', 'dynamic_threshold']",3
36,91502,"['xigema_check', 'amplitude_check_method', 'dynamic_threshold']",3
37,93454,"['seven_check_method', 'sameperiod_seven_point_check_method', 'amplitude_check_method', 'dynamic_threshold']",4
38,94224,"['xigema_check', 'amplitude_check_method', 'dynamic_threshold']",3
39,94278,"['xigema_check', 'amplitude_check_method', 'dynamic_threshold']",3
40,94310,"['xigema_check', 'amplitude_check_method', 'dynamic_threshold']",3
41,94311,"['xigema_check', 'amplitude_check_method', 'dynamic_threshold']",3
42,94312,"['xigema_check', 'sameperiod_seven_point_check_method', 'dynamic_threshold']",3
43,94350,"['xigema_check', 'amplitude_check_method', 'dynamic_threshold']",3
44,96408,"['seven_check_method', 'sameperiod_seven_point_check_method', 'amplitude_check_method', 'dynamic_threshold']",4
45,97315,"['xigema_check', 'amplitude_check_method', 'dynamic_threshold']",3
46,103203,"['xigema_check', 'amplitude_check_method', 'dynamic_threshold']",3
