,index,methods
0,11948,"['seven_check_method', 'sameperiod_seven_point_check_method', 'amplitude_check_method', 'dynamic_threshold']"
1,12297,"['xigema_check', 'amplitude_check_method', 'dynamic_threshold']"
2,13356,"['xigema_check', 'amplitude_check_method', 'dynamic_threshold']"
3,14378,"['seven_check_method', 'amplitude_check_method', 'dynamic_threshold']"
4,15974,"['xigema_check', 'amplitude_check_method', 'dynamic_threshold']"
5,16659,"['xigema_check', 'amplitude_check_method', 'dynamic_threshold']"
6,17387,"['seven_check_method', 'sameperiod_seven_point_check_method', 'amplitude_check_method', 'dynamic_threshold']"
7,17759,"['xigema_check', 'amplitude_check_method', 'dynamic_threshold']"
8,23641,"['xigema_check', 'amplitude_check_method', 'dynamic_threshold']"
9,24381,"['seven_check_method', 'sameperiod_seven_point_check_method', 'amplitude_check_method', 'dynamic_threshold']"
10,24602,"['xigema_check', 'amplitude_check_method', 'dynamic_threshold']"
11,44390,"['xigema_check', 'amplitude_check_method', 'dynamic_threshold']"
12,44400,"['xigema_check', 'amplitude_check_method', 'dynamic_threshold']"
13,46863,"['seven_check_method', 'sameperiod_seven_point_check_method', 'amplitude_check_method', 'dynamic_threshold']"
14,47971,"['xigema_check', 'amplitude_check_method', 'dynamic_threshold']"
15,48035,"['xigema_check', 'amplitude_check_method', 'dynamic_threshold']"
16,63321,"['xigema_check', 'amplitude_check_method', 'dynamic_threshold']"
17,65545,"['xigema_check', 'amplitude_check_method', 'dynamic_threshold']"
18,66386,"['xigema_check', 'amplitude_check_method', 'dynamic_threshold']"
19,70438,"['xigema_check', 'amplitude_check_method', 'dynamic_threshold']"
20,72261,"['seven_check_method', 'sameperiod_seven_point_check_method', 'amplitude_check_method', 'dynamic_threshold']"
21,72682,"['xigema_check', 'amplitude_check_method', 'dynamic_threshold']"
22,73157,"['sameperiod_seven_point_check_method', 'amplitude_check_method', 'dynamic_threshold']"
23,73241,"['xigema_check', 'amplitude_check_method', 'dynamic_threshold']"
24,73243,"['xigema_check', 'amplitude_check_method', 'dynamic_threshold']"
25,73245,"['sameperiod_seven_point_check_method', 'amplitude_check_method', 'dynamic_threshold']"
26,76716,"['seven_check_method', 'sameperiod_seven_point_check_method', 'amplitude_check_method', 'dynamic_threshold']"
27,78639,"['xigema_check', 'amplitude_check_method', 'dynamic_threshold']"
28,78640,"['sameperiod_seven_point_check_method', 'amplitude_check_method', 'dynamic_threshold']"
29,86510,"['xigema_check', 'amplitude_check_method', 'dynamic_threshold']"
30,86719,"['xigema_check', 'amplitude_check_method', 'dynamic_threshold']"
31,87582,"['xigema_check', 'amplitude_check_method', 'dynamic_threshold']"
32,87702,"['xigema_check', 'amplitude_check_method', 'dynamic_threshold']"
33,88752,"['xigema_check', 'amplitude_check_method', 'dynamic_threshold']"
34,88753,"['xigema_check', 'amplitude_check_method', 'dynamic_threshold']"
35,91501,"['xigema_check', 'amplitude_check_method', 'dynamic_threshold']"
36,91502,"['xigema_check', 'amplitude_check_method', 'dynamic_threshold']"
37,93454,"['seven_check_method', 'sameperiod_seven_point_check_method', 'amplitude_check_method', 'dynamic_threshold']"
38,94224,"['xigema_check', 'amplitude_check_method', 'dynamic_threshold']"
39,94278,"['xigema_check', 'amplitude_check_method', 'dynamic_threshold']"
40,94310,"['xigema_check', 'amplitude_check_method', 'dynamic_threshold']"
41,94311,"['xigema_check', 'amplitude_check_method', 'dynamic_threshold']"
42,94312,"['xigema_check', 'sameperiod_seven_point_check_method', 'dynamic_threshold']"
43,94350,"['xigema_check', 'amplitude_check_method', 'dynamic_threshold']"
44,96408,"['seven_check_method', 'sameperiod_seven_point_check_method', 'amplitude_check_method', 'dynamic_threshold']"
45,97315,"['xigema_check', 'amplitude_check_method', 'dynamic_threshold']"
46,103203,"['xigema_check', 'amplitude_check_method', 'dynamic_threshold']"
47,103558,"['seven_check_method', 'sameperiod_seven_point_check_method', 'amplitude_check_method', 'dynamic_threshold']"
48,104101,"['xigema_check', 'amplitude_check_method', 'dynamic_threshold']"
49,107525,"['xigema_check', 'amplitude_check_method', 'dynamic_threshold']"
50,107844,"['xigema_check', 'amplitude_check_method', 'dynamic_threshold']"
51,107845,"['seven_check_method', 'sameperiod_seven_point_check_method', 'amplitude_check_method', 'dynamic_threshold']"
52,107876,"['xigema_check', 'amplitude_check_method', 'dynamic_threshold']"
53,113149,"['seven_check_method', 'sameperiod_seven_point_check_method', 'amplitude_check_method', 'dynamic_threshold']"
