,0,1,2
0,708,60,5181
1,717,60,5160
2,807,60,5170
3,4868,60,4070
4,4874,60,4070
5,4878,60,4070
6,4884,60,4070
7,4887,60,4070
8,4894,60,4070
9,4898,60,4070
10,4904,60,4070
11,4905,60,4070
12,4910,60,4070
13,808,60,5171
14,4915,60,4070
15,4920,60,4070
16,4925,60,4070
17,4930,60,4070
18,4932,60,4070
19,4933,60,4070
20,4941,60,4070
21,4944,60,4070
22,4953,60,4070
23,4957,60,4070
24,809,60,5147
25,4963,60,4070
26,4967,60,4070
27,4971,60,4070
28,4978,60,4070
29,4983,60,4070
30,4986,60,4070
31,4991,60,4070
32,4995,60,4070
33,5000,60,4070
34,5005,60,4070
35,810,60,5008
36,5007,60,4070
37,5009,60,4070
38,5012,60,4070
39,5019,60,4070
40,5022,60,4070
41,5028,60,4070
42,5032,60,4070
43,5038,60,4070
44,5039,60,4070
45,5043,60,4070
46,811,60,5162
47,5048,60,4070
48,5052,60,4070
49,5057,60,4070
50,5063,60,4070
51,5068,60,4070
52,5073,60,4070
53,5078,60,4070
54,5082,60,4070
55,5088,60,4070
56,5092,60,4070
57,812,60,5151
58,5096,60,4070
59,5097,60,4070
60,5102,60,4070
61,5107,60,4070
62,5109,60,4070
63,5117,60,4070
64,5123,60,4070
65,5127,60,4070
66,5132,60,4070
67,5137,60,4070
68,813,60,5148
69,5142,60,4070
70,5147,60,4070
71,5151,60,4070
72,5155,60,4070
73,5159,60,4070
74,5164,60,4070
75,5169,60,4070
76,5174,60,4070
77,5179,60,4070
78,5182,60,4070
79,814,60,5152
80,5189,60,4070
81,5194,60,4070
82,5198,60,4070
83,5201,60,4070
84,5207,60,4070
85,5214,60,4070
86,5216,60,4070
87,5224,60,4070
88,5229,60,4070
89,5234,60,4070
90,815,60,5172
91,5238,60,4070
92,5243,60,4070
93,5248,60,4070
94,5253,60,4070
95,5255,60,4070
96,5261,60,4070
97,5263,60,4070
98,5266,60,4070
99,5273,60,4070
100,5277,60,4070
101,816,60,2472
102,5280,60,4070
103,5288,60,4070
104,5292,60,4070
105,5293,60,4070
106,5302,60,4070
107,5307,60,4070
108,5308,60,4070
109,5313,60,4070
110,5315,60,4070
111,5319,60,4070
112,718,60,5164
113,817,60,5162
114,5326,60,4070
115,5334,60,4070
116,5338,60,4070
117,5343,60,4070
118,5348,60,4070
119,5352,60,4070
120,5358,60,4070
121,5362,60,4070
122,5367,60,4070
123,5373,60,4070
124,818,60,5171
125,5378,60,4070
126,5380,60,4070
127,5382,60,4070
128,5390,60,4070
129,5394,60,4070
130,5396,60,4070
131,5403,60,4070
132,5407,60,4070
133,5412,60,4070
134,5417,60,4070
135,819,60,5176
136,5422,60,4070
137,5425,60,4070
138,5428,60,4070
139,5432,60,4070
140,5437,60,4070
141,5443,60,4070
142,5445,60,4070
143,5452,60,4070
144,5457,60,4070
145,5462,60,4070
146,820,60,5167
147,5467,60,4070
148,5471,60,4070
149,5473,60,4070
150,5478,60,4070
151,5483,60,4070
152,5486,60,4070
153,5493,60,4070
154,5497,60,4070
155,5503,60,4070
156,5506,60,4070
157,821,60,5163
158,5512,60,4070
159,5518,60,4070
160,5519,60,4070
161,5524,60,4070
162,5529,60,4070
163,5534,60,4070
164,5536,60,4070
165,5542,60,4070
166,5547,60,4070
167,5553,60,4070
168,822,60,5155
169,5558,60,4070
170,5563,60,4070
171,5568,60,4070
172,5572,60,4070
173,5573,60,4070
174,5577,60,4070
175,5581,60,4070
176,5587,60,4070
177,5591,60,4070
178,5598,60,4070
179,823,60,2467
180,5603,60,4070
181,5608,60,4070
182,5613,60,4070
183,5618,60,4070
184,5622,60,4070
185,5627,60,4070
186,5631,60,4070
187,5638,60,4070
188,5641,60,4070
189,5647,60,4070
190,824,60,5163
191,5652,60,4070
192,5654,60,4070
193,5659,60,4070
194,5662,60,4070
195,5667,60,4070
196,5669,60,4070
197,5671,60,4070
198,5678,60,4070
199,5687,60,4070
200,5691,60,4070
201,825,60,5166
202,5697,60,4070
203,5701,60,4070
204,5706,60,4070
205,5711,60,4070
206,5716,60,4070
207,5717,60,4070
208,5721,60,4070
209,5724,60,4070
210,5731,60,4070
211,5736,60,4070
212,826,60,5007
213,5740,60,4070
214,5741,60,4070
215,5746,60,4070
216,5750,60,4070
217,5755,60,4070
218,5759,60,4070
219,5764,60,4070
220,5768,60,4070
221,5774,60,4070
222,5775,60,4070
223,719,60,5162
224,827,60,5149
225,5779,60,4070
226,5783,60,4070
227,5789,60,4070
228,5793,60,4070
229,5800,60,4070
230,5804,60,4070
231,5808,60,4070
232,5813,60,4070
233,5816,60,4070
234,5822,60,4070
235,828,60,5164
236,5827,60,4070
237,5833,60,4070
238,5834,60,4070
239,5839,60,4070
240,5841,60,4070
241,5846,60,4070
242,5852,60,4070
243,5858,60,4070
244,5861,60,4070
245,5866,60,4070
246,829,60,2473
247,5871,60,4070
248,5877,60,4070
249,5881,60,4070
250,5886,60,4070
251,5891,60,4070
252,5896,60,4070
253,5899,60,4070
254,5903,60,4070
255,5909,60,4070
256,5914,60,4070
257,830,60,15761
258,5920,60,4070
259,5924,60,4070
260,5926,60,4070
261,5934,60,4070
262,5940,60,4070
263,5943,60,4070
264,5947,60,4070
265,5955,60,4070
266,5960,60,4070
267,5965,60,4070
268,831,60,5151
269,5968,60,4070
270,5975,60,4070
271,5980,60,4070
272,5982,60,4070
273,5988,60,4070
274,5993,60,4070
275,6000,60,4070
276,6003,60,4070
277,6009,60,4070
278,6014,60,4070
279,832,60,5167
280,6017,60,4070
281,6024,60,4070
282,6026,60,4070
283,6032,60,4075
284,6036,60,4075
285,6042,60,4075
286,6048,60,4075
287,6053,60,4075
288,6058,60,4075
289,6062,60,4075
290,833,60,5173
