,dro,id,interval,datalength,null,nullrate
0,0,708,60,5181,0,0.0
1,1,717,60,5160,0,0.0
2,2,807,60,5170,0,0.0
3,3,4868,60,4070,4145,1.0184275184275184
4,4,4874,60,4070,4145,1.0184275184275184
5,5,4878,60,4070,4145,1.0184275184275184
6,6,4884,60,4070,4145,1.0184275184275184
7,7,4887,60,4070,4145,1.0184275184275184
8,8,4894,60,4070,4145,1.0184275184275184
9,9,4898,60,4070,4145,1.0184275184275184
10,10,4904,60,4070,4145,1.0184275184275184
11,11,4905,60,4070,4145,1.0184275184275184
12,12,4910,60,4070,4145,1.0184275184275184
13,13,808,60,5171,0,0.0
14,14,4915,60,4070,4145,1.0184275184275184
15,15,4920,60,4070,4145,1.0184275184275184
16,16,4925,60,4070,4145,1.0184275184275184
17,17,4930,60,4070,4145,1.0184275184275184
18,18,4932,60,4070,4145,1.0184275184275184
19,19,4933,60,4070,4145,1.0184275184275184
20,20,4941,60,4070,4145,1.0184275184275184
21,21,4944,60,4070,4145,1.0184275184275184
22,22,4953,60,4070,4145,1.0184275184275184
23,23,4957,60,4070,4145,1.0184275184275184
24,24,809,60,5147,0,0.0
25,25,4963,60,4070,4145,1.0184275184275184
26,26,4967,60,4070,4145,1.0184275184275184
27,27,4971,60,4070,4145,1.0184275184275184
28,28,4978,60,4070,4145,1.0184275184275184
29,29,4983,60,4070,4145,1.0184275184275184
30,30,4986,60,4070,4145,1.0184275184275184
31,31,4991,60,4070,4145,1.0184275184275184
32,32,4995,60,4070,4145,1.0184275184275184
33,33,5000,60,4070,4145,1.0184275184275184
34,34,5005,60,4070,4145,1.0184275184275184
35,35,810,60,5008,0,0.0
36,36,5007,60,4070,4145,1.0184275184275184
37,37,5009,60,4070,4145,1.0184275184275184
38,38,5012,60,4070,4145,1.0184275184275184
39,39,5019,60,4070,4145,1.0184275184275184
40,40,5022,60,4070,4145,1.0184275184275184
41,41,5028,60,4070,4145,1.0184275184275184
42,42,5032,60,4070,4145,1.0184275184275184
43,43,5038,60,4070,4145,1.0184275184275184
44,44,5039,60,4070,4145,1.0184275184275184
45,45,5043,60,4070,4145,1.0184275184275184
46,46,811,60,5162,0,0.0
47,47,5048,60,4070,4145,1.0184275184275184
48,48,5052,60,4070,4145,1.0184275184275184
49,49,5057,60,4070,4145,1.0184275184275184
50,50,5063,60,4070,4145,1.0184275184275184
51,51,5068,60,4070,4145,1.0184275184275184
52,52,5073,60,4070,4145,1.0184275184275184
53,53,5078,60,4070,4145,1.0184275184275184
54,54,5082,60,4070,4145,1.0184275184275184
55,55,5088,60,4070,4145,1.0184275184275184
56,56,5092,60,4070,4145,1.0184275184275184
57,57,812,60,5151,0,0.0
58,58,5096,60,4070,4145,1.0184275184275184
59,59,5097,60,4070,4145,1.0184275184275184
60,60,5102,60,4070,4145,1.0184275184275184
61,61,5107,60,4070,4145,1.0184275184275184
62,62,5109,60,4070,4145,1.0184275184275184
63,63,5117,60,4070,4145,1.0184275184275184
64,64,5123,60,4070,4145,1.0184275184275184
65,65,5127,60,4070,4145,1.0184275184275184
66,66,5132,60,4070,4145,1.0184275184275184
67,67,5137,60,4070,4145,1.0184275184275184
68,68,813,60,5148,0,0.0
69,69,5142,60,4070,4145,1.0184275184275184
70,70,5147,60,4070,4145,1.0184275184275184
71,71,5151,60,4070,4145,1.0184275184275184
72,72,5155,60,4070,4145,1.0184275184275184
73,73,5159,60,4070,4145,1.0184275184275184
74,74,5164,60,4070,4145,1.0184275184275184
75,75,5169,60,4070,4145,1.0184275184275184
76,76,5174,60,4070,4145,1.0184275184275184
77,77,5179,60,4070,4145,1.0184275184275184
78,78,5182,60,4070,4145,1.0184275184275184
79,79,814,60,5152,0,0.0
80,80,5189,60,4070,4145,1.0184275184275184
81,81,5194,60,4070,4145,1.0184275184275184
82,82,5198,60,4070,4145,1.0184275184275184
83,83,5201,60,4070,4145,1.0184275184275184
84,84,5207,60,4070,4145,1.0184275184275184
85,85,5214,60,4070,4145,1.0184275184275184
86,86,5216,60,4070,4145,1.0184275184275184
87,87,5224,60,4070,4145,1.0184275184275184
88,88,5229,60,4070,4145,1.0184275184275184
