,id,max_time,min_time,11_days_length
0,52863,2019-08-16 05:47:29,2019-08-15 23:47:30,2
1,52862,2019-08-16 05:47:26,2019-08-15 23:47:26,2
2,52861,2019-08-16 05:47:25,2019-08-15 23:47:25,2
3,52860,2019-08-16 05:47:29,2019-08-15 23:47:28,2
4,52859,2019-08-16 05:47:27,2019-08-15 23:47:27,2
5,52858,2019-08-16 08:28:37,2019-08-15 21:28:37,12
6,52857,2019-08-16 08:28:35,2019-08-15 22:28:35,11
7,52856,2019-08-16 09:19:03,2019-08-15 21:19:03,13
8,52855,2019-08-16 09:19:01,2019-08-15 22:19:01,12
9,52854,2019-08-16 09:04:05,2019-08-15 21:04:05,13
10,52853,2019-08-16 09:04:03,2019-08-15 22:04:03,12
11,52852,2019-08-16 09:01:56,2019-08-15 21:01:56,13
12,52851,2019-08-16 09:01:54,2019-08-15 22:01:54,12
13,52850,2019-08-16 09:01:13,2019-08-15 21:01:13,13
14,52849,2019-08-16 09:01:11,2019-08-15 22:01:11,12
15,52848,2019-08-16 09:04:48,2019-08-15 21:04:48,13
16,52847,2019-08-16 09:04:46,2019-08-15 22:04:46,12
17,52846,2019-08-16 09:03:22,2019-08-15 21:03:22,13
18,52845,2019-08-16 09:03:20,2019-08-15 22:03:20,12
19,52844,2019-08-16 09:11:16,2019-08-15 21:11:16,13
20,52843,2019-08-16 09:11:14,2019-08-15 22:11:14,12
21,52842,2019-08-16 09:02:39,2019-08-15 21:02:39,13
22,52841,2019-08-16 09:02:37,2019-08-15 22:02:37,12
23,52840,2019-08-16 08:59:47,2019-08-15 20:59:47,13
24,52839,2019-08-16 08:59:45,2019-08-15 21:59:45,12
25,52838,2019-08-16 09:19:21,2019-08-15 20:39:21,152
26,52837,2019-08-16 09:19:15,2019-08-15 20:39:15,151
27,52836,2019-08-16 09:19:03,2019-08-15 20:39:03,151
28,52835,2019-08-16 09:18:52,2019-08-15 20:38:52,151
29,52834,2019-08-16 09:18:26,2019-08-15 20:38:26,150
30,52833,2019-08-16 09:18:19,2019-08-15 20:38:19,151
31,52832,2019-08-16 09:17:41,2019-08-15 20:37:41,153
32,52831,2019-08-16 09:17:10,2019-08-15 20:37:10,151
33,52830,2019-08-16 09:16:58,2019-08-15 20:36:58,152
34,52829,2019-08-16 09:19:23,2019-08-15 20:36:23,764
35,52828,2019-08-16 09:19:21,2019-08-15 20:36:21,764
36,52827,2019-08-16 09:19:19,2019-08-15 20:36:19,764
37,52826,2019-08-16 09:19:18,2019-08-15 20:36:18,764
38,52825,2019-08-16 09:19:18,2019-08-15 20:36:18,764
39,52824,2019-08-16 09:19:17,2019-08-15 20:36:17,764
40,52823,2019-08-16 09:19:17,2019-08-15 20:36:17,764
41,52822,2019-08-16 09:19:16,2019-08-15 20:36:16,764
42,52821,2019-08-16 09:19:16,2019-08-15 20:36:16,764
